Depth,Antenna,Disk,File,MinTime,MaxTime,Holes,MaxTime,Real Min,Real Max,TimeSpan
10,1,2,2,-10,40,2,-2.29747,-10,24.70253,34.70253
10,1,3,0,-5,40,3,3.29985,-5,30.29985,35.29985
20,1,2,4,-5,40,2,13.7067,3.7067,40,36.2933
20,1,3,1,-5,45,3,2.96956,-5,29.96956,34.96956
30,1,2,6,-10,25,2,-0.104797,-10,25,35
30,1,3,3,-70,-40,3,-53.9543,-63.9543,-40,23.9543
40,1,2,9,-10,40,2,2.24097,-7.75903,29.24097,37
40,1,3,4,0,45,3,15.7983,5.7983,42.7983,37
50,1,2,10,-10,35,2,-0.210339,-10,26.789661,36.789661
50,1,3,6,-10,35,3,-2.18906,-10,24.81094,34.81094
60,1,2,11,-10,45,2,-2.212,-10,24.788,34.788
60,1,3,8,-25,12,3,-16.6028,-25,10.3972,35.3972
70,1,2,14,-25,30,2,-16.5753,-25,10.4247,35.4247
70,1,3,10,-25,20,3,-18.18,-25,8.82,33.82
80,1,2,16,-30,40,2,-18.5917,-28.5917,8.4083,37
80,1,3,12,-25,20,3,-19.8064,-25,7.1936,32.1936
90,1,2,19,-30,40,2,-20.205,-30,6.795,36.795
90,1,3,14,-30,40,3,-19.4114,-29.4114,7.5886,37
20,2,2,33,-10,55,2,30.1829,20.1829,55,34.8171
20,2,3,22,10,50,3,2.29054,10,29.29054,19.29054
50,2,2,31,-20,40,2,15.418,5.418,40,34.582
50,2,3,23,-20,35,3,13.3954,3.3954,35,31.6046
75,2,2,32,-20,35,2,9.79075,-0.209250000000001,35,35.20925
75,2,3,24,-10,30,3,8.20311,-1.79689,30,31.79689
10,3,2,25,-5,10,2,0.242752,-5,10,15
10,3,3,18,0,27,3,15.3841,5.3841,27,21.6159
50,3,2,26,-2,10,2,3.44256,-2,10,12
50,3,3,19,0,20,3,8.17585,0,20,20
90,3,2,28,-10,15,2,-2.58088,-10,15,25
90,3,3,20,-3,8,3,2.35125,-3,8,11
