Disk,File,Antenna,Tx,Rx,DeltaT,P2P (mV),Notes
5,10,SR,B,1,-16.7,470,
5,11,SR,B,2,-3.2,167,
5,12,SR,B,3,17.2,126,
5,13,SR,B,4,49.5,114,
5,14,SR,B,5,84.5,54.6,
5,15,SR,B,6,121,22,
5,16,SR,B,7,146.2,28,
5,17,SR,B,8,169.7,18.3,
5,18,SR,B,9,184.2,99.2,
5,19,SR,B,10,189.7,96,
5,20,SR,B,11,203,128.4,
5,21,SR,B,12,216.7,81.6,
5,22,SR,A,13,245.5,15.7,
5,23,SR,A,12,238.5,20.2,
5,24,SR,A,11,234.5,29.5,
5,25,SR,A,10,231.2,18.3,
5,26,SR,A,9,234.5,13.1,
5,27,SR,A,8,225,9.88,
5,28,SR,A,7,203,8.48,
5,29,SR,A,6,182,21.9,
5,30,SR,A,5,149.7,9.88,
5,31,SR,A,4,122.2,21.8,
5,32,SR,A,3,97,28.9,
5,33,SR,A,2,86.7,16.8,
5,34,SR,A,1,79.2,10.16,
5,35,LP,A,1,85.2,19.9,
5,36,LP,A,2,91.2,31.8,
5,37,LP,A,3,102,46.6,
5,38,LP,A,4,126.5,52,
5,39,LP,A,5,156,31.4,
5,40,LP,A,6,185.5,25,
5,41,LP,A,7,208.5,26.9,
5,42,LP,A,8,230.2,21.7,
5,43,LP,A,9,239.5,46.8,
5,44,LP,A,10,237.7,51.4,
5,45,LP,A,11,238.5,54.2,
5,46,LP,A,12,241,52.6,
5,47,LP,A,13,247,48.6,
5,48,LP,B,13,231.7,36.0,
5,49,LP,B,12,218.7,84.0,
5,50,LP,B,11,205.5,85.2,
5,51,LP,B,10,192.0,63.8,
5,52,LP,B,9,184.7,71.8,
5,53,LP,B,8,172,6.48,
5,54,LP,B,7,147.2,13.12,
5,55,LP,B,6,123.2,15.6,
5,56,LP,B,5,88,25.8,
5,57,LP,B,4,49.5,65,
5,58,LP,B,3,15,119.6,
5,59,LP,B,2,-2.5,94.8,
5,60,LP,B,1,-15.2,244,
